Nanyang Technological University (NTU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,78.75,,NTU,ACCOUNTANCY,Accepted by direct entry/discovery day
International,IB,,,43,NTU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,70,,NTU,ACCOUNTANCY,Accepted by direct entry/discovery day
PR,JC,,72.5,,NTU,ACCOUNTANCY,Accepted by ABA
Singaporean,Poly,3.93,,,NTU,ACCOUNTANCY AND BUSINESS WITH A SECOND MAJOR IN ENTREPRENEURSHIP,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,ACCOUNTANCY WITH A MINOR IN DIGITALISATION AND DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,Poly,3.869,,,NTU,ACCOUNTANCY WITH A MINOR IN INTERNATIONAL TRADING,Accepted by direct entry/discovery day
Singaporean,Poly,3.81,,,NTU,ACCOUNTING AND BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,AEROSPACE ENGINEERING WITH A MINOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NTU,AEROSPACE ENGINEERING WITH A SECOND MAJOR IN DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NTU,AEROSPACE ENGINEERING WITH MINOR IN BUSINESS,Accepted by direct entry/discovery day
Singaporean,Poly,3.89,,,NTU,APPLIED PHYSICS WITH A SECOND MAJOR IN MEDICAL PHYSICS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,BACHELOR OF ACCOUNTANCY,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,BCG,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,BCG,Accepted by direct entry/discovery day
Singaporean,Poly,3.5775,,,NTU,BIOENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,72,,NTU,BIOENGINEERING,Rejected
Singaporean,JC,,81.25,,NTU,BIOENGINEERING WITH A SECOND MAJOR IN PHARM ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,Poly,3.92,,,NTU,BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,79.875,,NTU,BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,BIOLOGICAL SCIENCES,Accepted by direct entry/discovery day
International,IB,,,44,NTU,BIOLOGICAL SCIENCES AND PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,IB,,,45,NTU,BIOLOGICAL SCIENCES AND PSYCHOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 Merit,,NTU,BIOLOGICAL SCIENCES AND SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NTU,BIOLOGICAL SCIENCES WITH A SECOND MAJOR IN DATA ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NTU,BIOLOGICAL SCIENCES WITH A SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,BIOLOGICAL SCIENCES WITH A SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NTU,BIOLOGICAL SCIENCES WITH A SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,BIOLOGICAL SCIENCES WITH SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,Poly,3.92,,,NTU,BIOLOGICAL SCIENCES WITH SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NTU,BIOLOGICAL SCIENCES WITH SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NTU,BIOLOGICAL SCIENCES WITH SECOND MAJOR IN MEDICINAL CHEMISTRY AND PHARMACOLOGY,Accepted by direct entry/discovery day
Singaporean,IB,,,40,NTU,BIOMEDICAL SCIENCES AND BIOBUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,66,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,Poly,3.87,,,NTU,BUSINESS,Accepted by direct entry/discovery day
PR,JC,,76.25,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,76.5,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,BUSINESS,Accepted by direct entry/discovery day
PR,IB,,,43,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NTU,BUSINESS,Accepted by ABA
Singaporean,JC,,71.25,,NTU,BUSINESS,Accepted by ABA
Singaporean,JC,,76.5,,NTU,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS,Accepted by direct entry/discovery day
PR,JC,,88.75,,NTU,BUSINESS AND ACCOUNTANCY DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,Poly,3.93,,,NTU,BUSINESS AND ACCOUNTANCY WITH A SECOND MAJOR IN ENTREPRENEURSHIP,Accepted by direct entry/discovery day
PR,IB,,,43,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NTU,BUSINESS AND COMPUTING DOUBLE DEGREE,Accepted by direct entry/discovery day
Singaporean,JC,,75,,NTU,BUSINESS WITH A MINOR IN STRATEGIC COMMUNICATION,Accepted by direct entry/discovery day
Singaporean,JC,,75.375,,NTU,BUSINESS WITH MINOR IN INTERNATIONAL TRADING,Accepted by direct entry/discovery day
Singaporean,JC,,81.75,,NTU,BUSINESS WITH SECOND MAJOR IN ENTREPENEURSHIP,Accepted by direct entry/discovery day
PR,JC,,73.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NTU,CHEMICAL AND BIOMOLECULAR ENGINEERING,Accepted by direct entry/discovery day
