National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
PR,Poly,3.8855,,,NUS,ACCOUNTANCY,Accepted by ABA
PR,JC,,72.5,,NUS,ARCHITECTURE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,BIOMEDICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NUS,BIOMEDICAL ENGINEERING,Accepted by direct entry/discovery day
Singaporean,IB,,,72,NUS,BUSINESS,Rejected
Singaporean,Poly,3.87,,,NUS,BUSINESS,Accepted by direct entry/discovery day
Singaporean,Poly,3.64,,,NUS,BUSINESS,Accepted by direct entry/discovery day
Singaporean,JC,,80,,NUS,BUSINESS,Accepted by ABA
Singaporean,JC,,83.75,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,Poly,3.87,,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
International,IB,,,43,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,Poly,3.88,,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,JC,,81,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,JC,,82.5,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NUS,BUSINESS ADMINISTRATION,Rejected
Singaporean,JC,,78.75,,NUS,BUSINESS ADMINISTRATION,Rejected
Singaporean,Poly,3.81,,,NUS,BUSINESS ADMINISTRATION,Accepted by ABA
Singaporean,JC,,80,,NUS,BUSINESS ADMINISTRATION,Rejected
Singaporean,JC,,82.5,,NUS,BUSINESS ADMINISTRATION,Rejected
Singaporean,JC,,77.625,,NUS,BUSINESS ADMINISTRATION,Rejected
Singaporean,JC,,77.5,,NUS,BUSINESS ADMINISTRATION,Accepted by direct entry/discovery day
Singaporean,Poly,3.69,,,NUS,BUSINESS ADMINISTRATION,Accepted by ABA
Singaporean,JC,,78.75 + H3 distinction,,NUS,BUSINESS ADMINISTRATION,Accepted by ABA
International,IB,,,43,NUS,BUSINESS ADMINISTRATION (ACCOUNTANCY),Accepted by direct entry/discovery day
Singaporean,JC,,71.25,,NUS,BUSINESS ADMINISTRATION (ACCOUNTANCY),Rejected
Singaporean,JC,,79.875,,NUS,BUSINESS ADMINISTRATION (ACCOUNTANCY),Accepted by ABA
Singaporean,JC,,83.75,,NUS,BUSINESS ADMINISTRATION (ACCOUNTANCY),Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,BUSINESS ADMINISTRATION WITH DOUBLE MAJOR IN COMMUNICATIONS AND NEW MEDIA,Accepted by direct entry/discovery day
Singaporean,Poly,3.93,,,NUS,BUSINESS ADMINISTRATION WITH NUS COLLEGE,Accepted by direct entry/discovery day
International,IB,,,45,NUS,BUSINESS ADMINISTRATION WITH NUS COLLEGE,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,BUSINESS ADMINSITRATION,Accepted by direct entry/discovery day
International,IB,,,43,NUS,BUSINESS ANALYTICS,Rejected
Singaporean,IB,,,43,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
PR,JC,,88.75,,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 pass,,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
Singaporean,Poly,3.83,,,NUS,BUSINESS ANALYTICS,Accepted by ABA
Singaporean,JC,,87.5,,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NUS,BUSINESS ANALYTICS,Accepted by ABA
Singaporean,JC,,85,,NUS,BUSINESS ANALYTICS,Accepted by direct entry/discovery day
International,JC,,90,,NUS,BUSINESS ANALYTICS WITH DOUBLE MAJOR IN MATHEMATICS,Accepted by direct entry/discovery day
Singaporean,JC,,88.825,,NUS,BUSINESS ANALYTICS WITH SECOND MAJOR IN ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,BUSINESS AND COMPUTING DOUBLE DEGREE PROGRAMME,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,NUS,BUSINESS WITH SECOND MAJOR IN ENTREPRENEURSHIP,Rejected
