Singapore Management University (SMU),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,Poly,3.94,,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Accountancy,Accepted by ABA
Singaporean,JC,,72.5,,SMU,Accountancy,Accepted by ABA
Singaporean,JC,,74.25,,SMU,Accountancy,Accepted by ABA
Singaporean,Poly,3.85,,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,90,,SMU,Accountancy,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Accountancy,Accepted by ABA
Singaporean,JC,,72.5,,SMU,Accountancy,Accepted by ABA
Singaporean,IB,,,42,SMU,Accounting + Computing And Law,Accepted by direct entry/discovery day
Singaporean,JC,,77.6 (with MTL),,SMU,Bachelor In Economics (Soe),Accepted by direct entry/discovery day
Singaporean,Poly,3.91,,,SMU,Bachelor In Science (Software Engineering),Accepted by direct entry/discovery day
Singaporean,JC,,75.375(With MTL),,SMU,Bachelor Of Business Management,Accepted by ABA
Singaporean,JC,,88.75,,SMU,Bachelor Of Laws (Llb),Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 pass,,SMU,Bachelor Of Science (Software Engineering),Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,"Bachelor Of Social Science (Political Science, Psychology Or Sociology)",Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,Bsc Computer Science,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Business,Accepted by direct entry/discovery day
PR,IB,,,38,SMU,Business,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Business,Accepted by ABA
Singaporean,JC,,75,,SMU,Business,Accepted by ABA
Singaporean,JC,,81.25,,SMU,Business,Accepted by direct entry/discovery day
Singaporean,Poly,3.81,,,SMU,Business,Accepted by direct entry/discovery day
PR,JC,,77.5,,SMU,Business,Accepted by direct entry/discovery day
PR,JC,,87.5,,SMU,Business + Accountancy Double Degree,Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,SMU,Business + Economics Double Degree,Accepted by direct entry/discovery day
Singaporean,JC,,87.5 + H3 Merit,,SMU,Business Administration,Accepted by direct entry/discovery day
Singaporean,Poly,3.92,,,SMU,Business Administration,Accepted by direct entry/discovery day
Singaporean,JC,,83.25,,SMU,Business And Accountancy,Accepted by direct entry/discovery day
Singaporean,IB,,,41,SMU,Business And Economics Ddp,Accepted by direct entry/discovery day
Singaporean,Poly,3.87 (5 Sems),,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.86,,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.86,,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,77.625,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,85,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,77.5,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.9,,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,90 + H3 DISTINCTION,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,80,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,76.25,,SMU,Business Management,Accepted by ABA
Singaporean,Poly,3.73,,,SMU,Business Management,Accepted by ABA
Singaporean,JC,,75.375,,SMU,Business Management,Accepted by ABA
Singaporean,Poly,3.87,,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.78,,,SMU,Business Management,Accepted by ABA
PR,Poly,3.69,,,SMU,Business Management,Accepted by ABA
Singaporean,JC,,75.375,,SMU,Business Management,Accepted by ABA
International,JC,,72.5,,SMU,Business Management,Rejected
Singaporean,JC,,78.75,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,86.25 RP,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,JC,,78.75 w mtl,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.76,,,SMU,Business Management,Accepted by ABA
Singaporean,JC,,75,,SMU,Business Management,Accepted by ABA
Singaporean,JC,,78.75,,SMU,Business Management,Accepted by direct entry/discovery day
Singaporean,Poly,3.86,,,SMU,College Of Integrative Studies,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,SMU,College Of Integrative Studies,Accepted by direct entry/discovery day
Singaporean,JC,,82+H3 Pass,,SMU,College Of Integrative Studies,Accepted by direct entry/discovery day
